Real=1/Fake=0,AWL,ASL,NOW,NVB,NAJ,NPV,NST,CDV,NTP,TPR
0,5.0,6.67,20,2,2,0,3,0.89,0,0.0
1,4.29,9.5,38,4,7,0,4,0.94,0,0.0
0,4.08,6.5,13,0,2,0,2,1.0,2,0.15
1,3.8,11.67,70,11,9,0,6,0.83,1,0.01
0,4.37,9.5,19,0,2,0,2,0.9,0,0.0
1,3.96,11.14,78,7,8,0,7,0.97,1,0.01
0,4.21,7.0,28,2,3,0,4,1.0,0,0.0
1,4.56,10.8,54,12,2,0,5,0.79,1,0.02
0,4.09,14.0,56,10,5,1,4,0.88,2,0.04
1,5.11,7.4,37,5,3,0,5,1.0,0,0.0
0,4.07,10.25,41,4,5,0,4,0.88,3,0.07
1,4.88,11.4,57,10,6,0,5,0.97,4,0.07
0,4.1,12.0,48,10,3,2,4,0.96,2,0.04
1,4.14,14.25,57,9,5,0,4,0.96,1,0.02
0,4.0,10.25,41,3,5,0,4,1.0,0,0.0
1,3.97,7.75,31,4,3,1,4,0.92,0,0.0
0,4.03,10.0,40,6,3,0,4,0.93,2,0.05
1,4.08,12.0,36,7,3,0,3,0.94,2,0.06
0,4.58,14.25,57,10,2,0,4,0.9,0,0.0
1,4.46,9.1,91,11,9,4,10,0.82,3,0.03
0,4.18,11.0,55,4,8,0,5,0.89,2,0.04
1,4.06,11.29,79,10,4,3,7,0.9,0,0.0
0,4.53,11.6,58,6,5,0,5,0.79,2,0.03
1,4.25,15.92,207,28,19,4,13,0.83,1,0.0
0,4.65,9.2,46,9,5,0,5,0.88,3,0.07
1,3.77,6.9,69,11,4,0,10,0.84,2,0.03
0,4.12,10.4,52,4,4,0,5,0.94,2,0.04
1,4.3,18.0,90,9,7,2,5,0.97,0,0.0
0,4.52,11.83,71,7,9,0,6,0.85,2,0.03
1,4.67,18.0,54,5,6,0,3,0.9,4,0.07
0,4.62,10.5,42,7,4,4,4,0.89,0,0.0
